Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Ashburton,61 Dent St,4,h,2650000,S,Marshall,3/9/16,11,3147,4,3,2,753,399,2015,Boroondara City Council,-37.8669,145.0767,Southern Metropolitan,3052
Ashburton,69 Albion Rd,3,h,1670000,S,Jellis,3/12/16,11,3147,3,2,2,599,220,1930,Boroondara City Council,-37.8673,145.0688,Southern Metropolitan,3052
Ashburton,3/39 Solway St,3,t,2050000,S,Fletchers,3/12/16,11,3147,3,3,4,310,315,2014,Boroondara City Council,-37.874,145.0714,Southern Metropolitan,3052
Ashburton,3 Dunlop St,3,h,1555000,S,Jellis,4/6/16,11,3147,3,2,2,731,149,1935,Boroondara City Council,-37.8666,145.0676,Southern Metropolitan,3052
Ashburton,16a Nicholas St,3,h,1100000,PI,Marshall,8/10/16,11,3147,3,3,2,276,178,2004,Boroondara City Council,-37.8699,145.0778,Southern Metropolitan,3052
Ashburton,5 Nicholas St,3,h,1337000,S,Buxton,8/10/16,11,3147,3,1,2,583,112,1950,Boroondara City Council,-37.8685,145.0786,Southern Metropolitan,3052
Ashburton,115 Ashburn Gr,8,h,2950000,S,hockingstuart,10/9/16,11,3147,9,7,4,1472,618,2009,Boroondara City Council,-37.8729,145.0788,Southern Metropolitan,3052
Ashburton,1/1 Nairn St,3,h,1518000,S,Jellis,10/9/16,11,3147,3,2,2,516,145,1920,Boroondara City Council,-37.8675,145.0668,Southern Metropolitan,3052
Ashburton,9 Gona Ct,3,h,1710000,S,hockingstuart,10/12/16,11,3147,3,1,2,806,101,1950,Boroondara City Council,-37.8695,145.084,Southern Metropolitan,3052
Ashburton,45 Yuile St,3,h,1655000,S,Jellis,10/12/16,11,3147,3,1,3,780,152,1940,Boroondara City Council,-37.8599,145.0815,Southern Metropolitan,3052
Ashburton,47 Yuile St,4,h,1550000,VB,Marshall,12/11/16,11,3147,4,2,2,780,180,1938,Boroondara City Council,-37.86,145.0817,Southern Metropolitan,3052
Ashburton,6a Glen Rd,3,h,1662000,S,Jellis,14/5/16,11,3147,3,2,2,351,228,2006,Boroondara City Council,-37.8742,145.07,Southern Metropolitan,3052
Ashburton,18 Glen Rd,3,h,1665000,S,Jellis,15/10/16,11,3147,3,2,3,702,145,1945,Boroondara City Council,-37.8737,145.0695,Southern Metropolitan,3052
Ashburton,29A Yuile St,5,h,3510000,S,Jellis,18/3/17,11,3147,5,5,2,755,444,2015,Boroondara City Council,-37.8598,145.0796,Southern Metropolitan,3052
Ashburton,2/17 Ashburn Gr,3,t,900000,S,Jellis,19/11/16,11,3147,3,2,2,153,110,1990,Boroondara City Council,-37.8655,145.0808,Southern Metropolitan,3052
Ashburton,15 Comas Gr,5,h,2752000,S,Jellis,22/8/16,11,3147,6,4,2,1075,390,2010,Boroondara City Council,-37.8714,145.073,Southern Metropolitan,3052
Ashburton,3 Mustang Ct,3,h,1500000,VB,Jellis,22/8/16,11,3147,3,2,2,710,139,1945,Boroondara City Council,-37.8653,145.0897,Southern Metropolitan,3052
Ashburton,63 Dent St,4,h,1800000,S,Jellis,25/2/17,11,3147,4,2,4,749,206,1950,Boroondara City Council,-37.8669,145.077,Southern Metropolitan,3052
Ashburton,4 Vears Rd,3,h,1830000,S,Jellis,25/2/17,11,3147,3,2,3,724,168,1940,Boroondara City Council,-37.8619,145.0879,Southern Metropolitan,3052
Ashburton,14 Lucerne St,3,h,1415000,S,Buxton,27/6/16,11,3147,3,1,1,605,111,1950,Boroondara City Council,-37.8703,145.0774,Southern Metropolitan,3052
Ashburton,5 Pitt St,2,h,1440000,PI,Jellis,27/6/16,11,3147,2,1,1,687,104,1940,Boroondara City Council,-37.872,145.0692,Southern Metropolitan,3052
Ashburton,1/65 Ashburn Gr,4,t,1250000,VB,Noel,27/11/16,11,3147,4,2,2,321,199,2007,Boroondara City Council,-37.8693,145.08,Southern Metropolitan,3052
Ashburton,48 Nicholas St,5,h,1600000,S,Marshall,27/11/16,11,3147,5,3,4,700,266,1950,Boroondara City Council,-37.8724,145.0758,Southern Metropolitan,3052
Ashburton,5 Taylor St,4,h,1860000,S,Jellis,27/11/16,11,3147,4,2,3,696,274,2000,Boroondara City Council,-37.8711,145.0746,Southern Metropolitan,3052
Ashburton,33 Highgate Gr,4,h,1790000,PI,hockingstuart,28/5/16,11,3147,4,2,2,514,240,1935,Boroondara City Council,-37.8664,145.0772,Southern Metropolitan,3052
Ashburton,9 Pitt St,4,h,1950000,S,Tim,28/5/16,11,3147,4,2,2,844,278,1940,Boroondara City Council,-37.8715,145.0688,Southern Metropolitan,3052
Ashburton,19 Poulter St,3,h,1650000,S,Marshall,28/8/16,11,3147,3,1,1,697,164,1947,Boroondara City Council,-37.8636,145.0903,Southern Metropolitan,3052